station_code,lon,lat
G320603,120.9358333,31.92833333
G320604,120.8108333,32.0425
G320605,120.8425,32.00666667
G411301,112.5572778,33.027
G411302,112.5002778,32.9735
G411303,112.5192,32.99166667
G411304,112.55,32.96827778
G411305,112.5223611,33.01216944
G652701,82.0419224,44.9102445
G652702,82.0826389,44.8993451
G370201,120.46349,36.38378
G370202,120.4443,36.3902
G350201,118.151,24.4767
G350202,118.146769,24.512905
G350203,118.0941667,24.515
G350204,118.157,24.8181
G350205,118.064,24.4458
G230501,131.1651,46.619
G230502,131.1638,46.6572
G230503,131.1516,46.6462
G230504,131.1572,46.5888
G321101,119.18236,31.94714
G321102,119.1504,31.9543
G331001,121.419,28.6542
G331002,121.377,28.5773
G331003,121.273,28.6459
G340101,117.307,31.8766
G340102,117.302,31.7956
G340103,117.266,31.9438
G340104,117.196,31.7848
G340105,117.278,31.7386
G340106,117.259,31.8706
G340107,117.336,31.8585
G340108,117.16,31.9051
G340109,117.25,31.8572
G340110,117.124,31.8516
G360801,114.9739,27.11
G360802,114.99,27.1311
G360803,114.9817,27.0658
G360804,115.0075,27.0983
G220201,126.584444,43.836389
G220202,126.673056,43.765833
G220203,126.473,43.94
G220204,126.564544,43.871988
G220205,126.54,43.885833
G220206,126.6025,43.905833
G220207,126.550833,43.833056
G220208,126.496389,43.825
G652101,89.1673,42.9559
G652102,89.191,42.9409
G141101,111.1406,37.5211
G141102,111.1297,37.5136
G141103,111.144319,37.518314
G141104,111.1283333,37.51
G640301,106.1481833,37.9674122
G640302,106.1954585,37.9758612
G640303,106.2108467,37.9830612
G320501,120.64072,31.15287
G320502,120.6753,31.1799
G320503,120.6388,31.168
G411601,114.67575,33.613
G411602,114.6368611,33.598
G411603,114.6613056,33.61277778
G411604,114.654,33.635
G150701,119.7594,49.2261
G150702,119.7283,49.2014
G150101,111.7277,40.8062
G150102,111.659,40.8452
G150103,111.717,40.7612
G150104,111.651,40.7579
G150105,111.751,40.8369
G150106,111.658,40.8033
G150107,111.551,40.7866
G150108,111.608,40.8144
G653201,79.9117,37.1013
G653202,79.9485,37.1152
G421201,114.1763889,29.5136111
G421202,114.3230556,29.8211111
G421203,114.3168284,29.8202993
G421204,114.3236778,29.8855583
G610401,108.740808,34.318737
G610402,108.6761,34.3181
G610403,108.7233,34.3617
G610404,108.7197,34.3956
G652201,93.4961,42.8328
G652202,93.5128,42.8172
G230101,126.646,45.7258
G230102,126.599,45.7222
G230103,126.611,45.9819
G230104,126.689,45.7733
G230105,126.542,45.755
G230106,126.615,45.61
G230107,126.561,45.8167
G230108,126.621,45.6842
G230109,126.635,45.7667
G230110,126.593,45.7478
G230111,126.979,45.5422
G230112,126.685,45.7319
G130201,118.166,39.631
G130202,118.184,39.658
G130203,118.2,39.63
G130204,118.185,39.641
G130205,118.219,39.668
G130206,118.144,39.643
G411401,115.6697222,34.42861111
G411402,115.6386111,34.407
G411403,115.6577778,34.402
G411404,115.6558333,34.429
G611001,109.966,33.8509
G611002,109.9154,33.8715
G653101,75.9771,39.4699
G653102,75.9828,39.5371
G653103,75.9435,39.4365
G330401,120.73,30.764
G330402,120.726,30.7478
G330403,120.744,30.7946
G330404,120.9454515,30.5237356
G620201,98.2905542,39.771835
G620202,98.265,39.798
G620203,98.289152,39.77313
G220301,124.3711,43.1594
G220302,124.3897,43.1847
G220303,124.3419,43.1747
G640401,106.238387,36.0159998
G640402,106.277754,36.0010449
G640403,106.2447179,36.1309699
G654201,82.9994,46.7432
G232701,124.1303,50.4217
G232702,124.1186,50.4269
G140201,113.2994,40.0758
G140202,113.3444,40.0917
G140203,113.2661,40.1269
G140204,113.2711,40.0844
G140205,113.3819,40.1097
G140206,113.290651,40.093067
G230601,124.716667,46.033333
G230602,124.883333,46.416667
G230603,125.066667,46.6
G230604,124.85,46.633333
G230605,125.1,46.533333
G532901,100.2171,25.5811
G532902,100.1542,25.7054
G210201,121.518,38.8561
G210202,121.625,38.8639
G210203,121.977,39.0631
G210204,121.565,38.9511
G210205,121.777,39.0511
G210206,121.259,38.8081
G210207,121.564,38.885
G210208,121.612,38.9739
G210209,121.748,39.1311
G210210,121.633,38.9119
G620501,106.005,34.3469
G620502,105.8614,34.5653
G620503,105.7281,34.5814
G120001,117.2016833,39.0927
G120002,117.1446333,39.16543333
G120003,117.1090308,39.2708421
G120004,117.2005153,39.1179325
G120005,117.190182,39.125596
G120006,117.1566333,38.91943333
G120007,117.2452,39.11083
G120008,117.2769428,39.1386517
G120009,117.15778,39.09812
G120010,117.159031,39.098402
G120011,117.190182,39.125596
G120012,117.45735,38.83945
G120013,117.7641667,39.15875
G120014,117.7917667,39.24735
G120015,117.3747333,38.98458333
G120016,117.70715,39.03431667
G120017,117.3747667,39.15106667
G120018,117.3145,39.08714
G320504,121.1147,34.4524
G320505,121.128,31.435
G140101,112.434,38.0108
G140102,112.549,37.9854
G140103,112.57,37.8195
G140104,112.5583,37.7394
G140105,112.522,37.8873
G140106,112.469,37.7124
G140107,112.5369,37.8692
G140108,112.573,37.9103
G140109,112.488,37.7805
G371003,122.1257714,37.42694682
G371004,122.05938,37.52598
G371005,122.0620045,37.51292649
G431301,112.0194,27.7314
G431302,111.9892,27.7044
G431303,111.9975,27.725
G431304,111.9561,27.7569
G431305,111.9975,27.725
G420901,113.9384083,30.9204194
G420902,113.9155556,30.9283333
G350901,119.5392,26.6611
G350902,119.5202,26.6607
G350903,119.5001,26.6946
G330201,121.614,29.896
G330202,121.56,29.8208
G330203,121.554,29.8906
G330204,121.836,29.9108
G330205,121.586,29.8633
G330206,121.147191,30.056588
G330207,121.524,29.8506
G330208,121.633,29.7736
G330209,121.713,29.9572
G340801,116.9894,30.6145
G340802,117.0549,30.5103
G340803,117.0486,30.5489
G340804,117.0299,30.5159
G610901,109.0281,32.6939
G610902,109.0072,32.6975
G610903,109.0311,32.6778
G410501,114.482,36.061
G410502,114.392756,36.097593
G410503,114.482,36.086
G410504,114.286,36.11
G410505,114.358,36.087
