id,station_code,file_code,province_code,province,city_code,city_code_short,city_full,city,city_old,station_name,type,district,province_en,city_en,lon,lat,source,station_code_cnemc,remark
48,G330102,2010A,33,浙江,330185,3301,临安市,临安,临安市,市政府,国控站,,Zhejiang,Lin'an,119.7186111,30.2366667,3,330185001,
49,G141001,1733A,14,山西,141000,1410,临汾市,临汾,临汾市,临钢医院,国控站,,Shanxi,Linfen,111.5531,36.0783,3,141000069,
50,G141002,1737A,14,山西,141000,1410,临汾市,临汾,临汾市,南机场,国控站,,Shanxi,Linfen,111.491667,36.041667,3,141000074,
51,G141003,1735A,14,山西,141000,1410,临汾市,临汾,临汾市,工商学校,国控站,,Shanxi,Linfen,111.5169,36.0822,3,141000072,
52,G141004,1736A,14,山西,141000,1410,临汾市,临汾,临汾市,市委,国控站,,Shanxi,Linfen,111.5025,36.0875,3,141000073,
53,G141005,1732A,14,山西,141000,1410,临汾市,临汾,临汾市,市监测站,国控站,,Shanxi,Linfen,111.4793079,35.6540506,3,,
54,G141006,1734A,14,山西,141000,1410,临汾市,临汾,临汾市,技工学校,国控站,,Shanxi,Linfen,111.5028,36.0714,3,141000071,
55,G371301,1620A,37,山东,371300,3713,临沂市,临沂,临沂市,新光毛纺厂,国控站,罗庄区,Shandong,Linyi,118.291501,35.002802,3,371300053,
56,G371302,1618A,37,山东,371300,3713,临沂市,临沂,临沂市,沂河小区,国控站,兰山区,Shandong,Linyi,118.355159,35.057898,3,371300051,
57,G371303,1621A,37,山东,371300,3713,临沂市,临沂,临沂市,河东保险公司,国控站,河东区,Shandong,Linyi,118.4023333,35.08972222,3,371300054,
58,G371304,1619A,37,山东,371300,3713,临沂市,临沂,临沂市,鲁南制药厂,国控站,兰山区,Shandong,Linyi,118.310787,35.059478,3,371300052,
59,G530901,2604A,53,云南,530900,5309,临沧市,临沧,临沧市,市气象局,国控站,,Yunnan,Lincang,100.0782,23.8982,3,530900430,
60,G530902,2603A,53,云南,530900,5309,临沧市,临沧,临沧市,市环保局,国控站,,Yunnan,Lincang,100.0869,23.8822,3,530900429,
61,G210601,1601A,21,辽宁,210600,2106,丹东市,丹东,丹东市,临江后街,国控站,,Liaoning,Dandong,124.426767,40.157134,1,210600402,
62,G210602,1602A,21,辽宁,210600,2106,丹东市,丹东,丹东市,元宝山,国控站,,Liaoning,Dandong,124.3858609,40.147836,1,210600403,
63,G210603,1603A,21,辽宁,210600,2106,丹东市,丹东,丹东市,民主桥,国控站,,Liaoning,Dandong,124.152274,39.885819,1,210600404,
64,G210604,1600A,21,辽宁,210600,2106,丹东市,丹东,丹东市,江湾东路,国控站,,Liaoning,Dandong,124.3399539,40.0674054,1,210600401,
65,G331101,1269A,33,浙江,331100,3311,丽水市,丽水,丽水市,余庄前,国控站,,Zhejiang,Lishui,119.879,28.4231,3,331100601,
66,G331102,1267A,33,浙江,331100,3311,丽水市,丽水,丽水市,监测站大楼,国控站,,Zhejiang,Lishui,119.914,28.4514,3,331100401,
67,G331103,1268A,33,浙江,331100,3311,丽水市,丽水,丽水市,莲都小学,国控站,,Zhejiang,Lishui,119.93,28.4586,3,331100402,
68,G530701,2599A,53,云南,530700,5307,丽江市,丽江,丽江市,丽江古城,国控站,,Yunnan,Lijiang,100.2497,26.8802,3,530700052,
69,G530702,2600A,53,云南,530700,5307,丽江市,丽江,丽江市,市中心,国控站,,Yunnan,Lijiang,100.2203,26.8906,3,530700055,
70,G530703,2598A,53,云南,530700,5307,丽江市,丽江,丽江市,西南郊,国控站,,Yunnan,Lijiang,100.2143,26.8576,3,530700011,对照点
71,G330701,2015A,33,浙江,330782,3307,义乌市,义乌,义乌市,北苑,国控站,,Zhejiang,Yiwu,120.0786111,29.3353639,3,,
72,G330702,2014A,33,浙江,330782,3307,义乌市,义乌,义乌市,江东,国控站,,Zhejiang,Yiwu,120.0905556,29.3049639,3,,
73,G150901,2197A,15,内蒙古,150900,1509,乌兰察布市,乌兰察布,乌兰察布市,集宁新区,国控站,,Inner Mongolia,Ulanqab,113.1306,40.9923,3,150900850,
74,G150902,2198A,15,内蒙古,150900,1509,乌兰察布市,乌兰察布,乌兰察布市,集宁旧区西,国控站,,Inner Mongolia,Ulanqab,113.0974,41.038,3,,
75,G150301,2188A,15,内蒙古,150300,1503,乌海市,乌海,乌海市,中海勃湾学校,国控站,,Inner Mongolia,Wuhai,106.7931,39.6572,3,150300463,
76,G150302,2187A,15,内蒙古,150300,1503,乌海市,乌海,乌海市,市林业局,国控站,,Inner Mongolia,Wuhai,106.8089,39.6969,3,150300462,
77,G150303,2186A,15,内蒙古,150300,1503,乌海市,乌海,乌海市,聚英学校,国控站,,Inner Mongolia,Wuhai,106.8219,39.6719,3,150300461,
78,G650101,1495A,65,新疆,650100,6501,乌鲁木齐市,乌鲁木齐,乌鲁木齐市,七十四中学,国控站,,Xinjiang,Urumqi,87.4171,43.8729,3,,
79,G650102,1494A,65,新疆,650100,6501,乌鲁木齐市,乌鲁木齐,乌鲁木齐市,三十一中学,国控站,,Xinjiang,Urumqi,87.6432,43.831,3,650100071,
80,G650103,1491A,65,新疆,650100,6501,乌鲁木齐市,乌鲁木齐,乌鲁木齐市,收费所,国控站,,Xinjiang,Urumqi,87.6046,43.768,3,650100051,
81,G650104,1492A,65,新疆,650100,6501,乌鲁木齐市,乌鲁木齐,乌鲁木齐市,新疆农科院农场,国控站,,Xinjiang,Urumqi,87.4754,43.9469,3,650100002,对照点
82,G650105,1490A,65,新疆,650100,6501,乌鲁木齐市,乌鲁木齐,乌鲁木齐市,监测站,国控站,,Xinjiang,Urumqi,87.5801,43.8303,3,650100055,
83,G650106,1496A,65,新疆,650100,6501,乌鲁木齐市,乌鲁木齐,乌鲁木齐市,米东区环保局,国控站,,Xinjiang,Urumqi,87.6444,43.962,3,650100091,
84,G650107,1493A,65,新疆,650100,6501,乌鲁木齐市,乌鲁木齐,乌鲁木齐市,铁路局,国控站,,Xinjiang,Urumqi,87.5525,43.8711,3,650100056,
85,G511101,,51,四川,511100,5111,乐山市,乐山,乐山市,花湖湾,国控站,市区,Sichuan,Leshan,103.7705,29.5467,3,511100001,原名乐山大佛景区已于2017-09-12 15:00停运
86,G511102,2538A,51,四川,511100,5111,乐山市,乐山,乐山市,市监测站,国控站,市区,Sichuan,Leshan,103.757,29.5634,3,511100083,
87,G511103,2537A,51,四川,511100,5111,乐山市,乐山,乐山市,市第三水厂,国控站,市区,Sichuan,Leshan,103.7506,29.6007,3,511100058,
88,G511104,2536A,51,四川,511100,5111,乐山市,乐山,乐山市,牛耳桥,国控站,市区,Sichuan,Leshan,103.7627,29.5844,3,511100051,
89,G360401,1806A,36,江西,360400,3604,九江市,九江,九江市,五七二七厂,国控站,,Jiangxi,Jiujiang,116.017444,29.653472,3,360400061,
90,G360402,1803A,36,江西,360400,3604,九江市,九江,九江市,十里,国控站,,Jiangxi,Jiujiang,115.987222,29.681556,3,360400051,
91,G360403,1810A,36,江西,360400,3604,九江市,九江,九江市,庐山气象台,国控站,,Jiangxi,Jiujiang,115.993611,29.586667,3,360400049,对照点
92,G360404,1807A,36,江西,360400,3604,九江市,九江,九江市,水科所,国控站,,Jiangxi,Jiujiang,116.06275,29.692611,3,360400062,
93,G360405,1809A,36,江西,360400,3604,九江市,九江,九江市,石化总厂,国控站,,Jiangxi,Jiujiang,116.08925,29.753361,3,360400064,
94,G360406,1808A,36,江西,360400,3604,九江市,九江,九江市,综合工业园,国控站,,Jiangxi,Jiujiang,115.911444,29.603889,3,360400063,
95,G360407,1804A,36,江西,360400,3604,九江市,九江,九江市,茅山头,国控站,,Jiangxi,Jiujiang,115.958139,29.70475,3,360400052,
96,G360408,1805A,36,江西,360400,3604,九江市,九江,九江市,西园,国控站,,Jiangxi,Jiujiang,115.988,29.729222,3,360400053,
97,G371001,1984A,37,山东,371083,3710,乳山市,乳山,乳山市,乳山市气象局,国控站,,Shandong,Rushan,121.542,36.9296,3,371083002,
98,G371002,1983A,37,山东,371083,3710,乳山市,乳山,乳山市,乳山市环保局,国控站,,Shandong,Rushan,121.5357,36.9132,3,371083001,
99,G445301,1713A,44,广东,445300,4453,云浮市,云浮,云浮市,市监测站,国控站,,Guangdong,Yunfu,112.036944,22.939444,3,445300401,
100,G445302,1712A,44,广东,445300,4453,云浮市,云浮,云浮市,新市府,国控站,,Guangdong,Yunfu,112.039167,22.916944,3,445300001,
101,G445303,1714A,44,广东,445300,4453,云浮市,云浮,云浮市,牧羊,国控站,,Guangdong,Yunfu,112.053888,22.953889,3,445300403,
102,G659001,2711A,65,新疆,659004,6590,五家渠市,五家渠,五家渠市,农水大厦,国控站,,Xinjiang,Wujiaqu,87.5475,44.1756,3,659004109,
103,G341601,2312A,34,安徽,341600,3416,亳州市,亳州,亳州市,三国揽胜宫,国控站,,Anhui,Bozhou,115.7831,33.8561,3,341600512,
104,G341602,2311A,34,安徽,341600,3416,亳州市,亳州,亳州市,污水处理厂,国控站,,Anhui,Bozhou,115.8067,33.8399,3,341600511,
105,G230701,2252A,23,黑龙江,230700,2307,伊春市,伊春,伊春市,中心医院,国控站,,Heilongjiang,Yichun,128.8736,47.7222,3,230700051,
106,G230702,2253A,23,黑龙江,230700,2307,伊春市,伊春,伊春市,林管局,国控站,,Heilongjiang,Yichun,128.9094,47.7317,3,230700052,
107,G230703,2254A,23,黑龙江,230700,2307,伊春市,伊春,伊春市,汤旺河国家公园,国控站,,Heilongjiang,Yichun,129.4942,48.4658,3,230700050,对照点
108,G654001,2703A,65,新疆,654000,6540,伊犁哈萨克州,伊犁,伊犁哈萨克州,市环保局,国控站,,Xinjiang,Yili,81.2815,43.9404,3,654000401,
109,G654002,2704A,65,新疆,654000,6540,伊犁哈萨克州,伊犁,伊犁哈萨克州,新政府片区,国控站,,Xinjiang,Yili,81.2867,43.895,3,654000408,
110,G654003,2705A,65,新疆,654000,6540,伊犁哈萨克州,伊犁,伊犁哈萨克州,第二水厂,国控站,,Xinjiang,Yili,81.3364,43.941,3,654000409,
111,G440601,1378A,44,广东,440600,4406,佛山市,佛山,佛山市,三水云东海,国控站,,Guangdong,Foshan,112.863,23.1886,3,440600409,
112,G440602,1377A,44,广东,440600,4406,佛山市,佛山,佛山市,三水监测站,国控站,,Guangdong,Foshan,112.885,23.1572,3,440600408,
113,G440603,1372A,44,广东,440600,4406,佛山市,佛山,佛山市,华材职中,国控站,,Guangdong,Foshan,113.105,23.0395,3,440600402,
114,G440604,1373A,44,广东,440600,4406,佛山市,佛山,佛山市,南海气象局,国控站,,Guangdong,Foshan,113.144,23.0467,3,440600404,
115,G440605,1375A,44,广东,440600,4406,佛山市,佛山,佛山市,容桂街道办,国控站,,Guangdong,Foshan,113.257,22.7629,3,440600406,
116,G440606,1371A,44,广东,440600,4406,佛山市,佛山,佛山市,湾梁,国控站,,Guangdong,Foshan,113.134,23.0048,3,440600401,
117,G440607,1374A,44,广东,440600,4406,佛山市,佛山,佛山市,顺德苏岗,国控站,,Guangdong,Foshan,113.292,22.8054,3,440600405,
118,G440608,1376A,44,广东,440600,4406,佛山市,佛山,佛山市,高明孔堂,国控站,,Guangdong,Foshan,112.844,22.8693,3,440600407,
119,G230801,2255A,23,黑龙江,230800,2308,佳木斯市,佳木斯,佳木斯市,佳纺,国控站,,Heilongjiang,Jiamusi,130.2719,46.8025,3,230800431,
120,G230802,2258A,23,黑龙江,230800,2308,佳木斯市,佳木斯,佳木斯市,十一中,国控站,,Heilongjiang,Jiamusi,130.3648,46.8032,3,230800438,
121,G230803,2256A,23,黑龙江,230800,2308,佳木斯市,佳木斯,佳木斯市,发电厂,国控站,,Heilongjiang,Jiamusi,130.3961,46.8267,3,230800435,
122,G230804,2259A,23,黑龙江,230800,2308,佳木斯市,佳木斯,佳木斯市,四丰,国控站,,Heilongjiang,Jiamusi,130.3794,46.7588,3,230800001,对照点
123,G230805,2257A,23,黑龙江,230800,2308,佳木斯市,佳木斯,佳木斯市,环保局,国控站,,Heilongjiang,Jiamusi,130.3258,46.7975,3,230800437,
124,G130601,1052A,13,河北,130600,1306,保定市,保定,保定市,华电二区,国控站,莲池区,Hebei,Baoding,115.522,38.896,3,130600063,
125,G130602,1054A,13,河北,130600,1306,保定市,保定,保定市,地表水厂,国控站,莲池区,Hebei,Baoding,115.461,38.842,3,130600061,
126,G130603,1053A,13,河北,130600,1306,保定市,保定,保定市,接待中心,国控站,竞秀区,Hebei,Baoding,115.471,38.911,3,130600062,
127,G130604,1051A,13,河北,130600,1306,保定市,保定,保定市,游泳馆,国控站,莲池区,Hebei,Baoding,115.493,38.863,3,130600064,
128,G130605,1056A,13,河北,130600,1306,保定市,保定,保定市,监测站,国控站,莲池区,Hebei,Baoding,115.521,38.871,3,130600060,
129,G130606,1055A,13,河北,130600,1306,保定市,保定,保定市,胶片厂,国控站,竞秀区,Hebei,Baoding,115.442,38.876,3,130600051,
130,G530501,2595A,53,云南,530500,5305,保山市,保山,保山市,市环保局,国控站,,Yunnan,Baoshan,99.1678,25.1081,3,530500428,
131,G530502,2594A,53,云南,530500,5305,保山市,保山,保山市,市环境监测站,国控站,,Yunnan,Baoshan,99.1711,25.1328,3,530500427,
132,G411501,2064A,41,河南,411500,4115,信阳市,信阳,信阳市,南湾水厂,国控站,,Henan,Xinyang,114.0122222,32.138,3,411500351,
133,G411502,2066A,41,河南,411500,4115,信阳市,信阳,信阳市,审计局,国控站,,Henan,Xinyang,114.0613889,32.108,3,411500403,
134,G411503,2065A,41,河南,411500,4115,信阳市,信阳,信阳市,市酿酒公司,国控站,,Henan,Xinyang,114.077,32.119,3,411500402,
135,G411504,2054A,41,河南,411500,4115,信阳市,信阳,信阳市,平桥分局,国控站,,Henan,Xinyang,114.1044444,32.134,3,411500401,
136,G653001,2697A,65,新疆,653000,6530,克孜勒苏柯尔克孜自治州,克孜勒苏,克孜勒苏柯尔克孜自治州,市人民政府,国控站,,Xinjiang,Kizilsu,76.1861,39.7153,3,653000402,
137,G650201,1955A,65,新疆,650200,6502,克拉玛依市,克拉玛依,克拉玛依市,乌尔禾区商贸楼,国控站,,Xinjiang,Karamay,85.692613,46.089847,3,650200081,
138,G650202,1952A,65,新疆,650200,6502,克拉玛依市,克拉玛依,克拉玛依市,南林小区,国控站,,Xinjiang,Karamay,84.888889,45.599722,3,650200062,
139,G650203,1954A,65,新疆,650200,6502,克拉玛依市,克拉玛依,克拉玛依市,独山子区,国控站,,Xinjiang,Karamay,84.904167,44.342778,3,650200071,
140,G650204,1953A,65,新疆,650200,6502,克拉玛依市,克拉玛依,克拉玛依市,白碱滩区,国控站,,Xinjiang,Karamay,84.123333,45.688333,3,650200070,
141,G650205,1951A,65,新疆,650200,6502,克拉玛依市,克拉玛依,克拉玛依市,长征新村,国控站,,Xinjiang,Karamay,84.886111,45.603333,3,650200061,
142,G341501,2310A,34,安徽,341500,3415,六安市,六安,六安市,开发区,国控站,,Anhui,Lu'an,116.5661,31.7712,3,341500214,
143,G341502,2309A,34,安徽,341500,3415,六安市,六安,六安市,朝阳厂,国控站,,Anhui,Lu'an,116.5068,31.7797,3,341500213,
144,G341503,2308A,34,安徽,341500,3415,六安市,六安,六安市,皖西学院,国控站,,Anhui,Lu'an,116.478,31.7618,3,341500212,
145,G341504,2307A,34,安徽,341500,3415,六安市,六安,六安市,监测大楼,国控站,,Anhui,Lu'an,116.508,31.7371,3,341500211,
146,G520201,2580A,52,贵州,520200,5202,六盘水市,六盘水,六盘水市,双水,国控站,,Guizhou,Liupanshui,104.9544,26.5506,3,520200057,
147,G520202,2579A,52,贵州,520200,5202,六盘水市,六盘水,六盘水市,民中,国控站,,Guizhou,Liupanshui,104.8475,26.5894,3,520200056,
148,G520203,2578A,52,贵州,520200,5202,六盘水市,六盘水,六盘水市,水钢,国控站,,Guizhou,Liupanshui,104.89,26.5939,3,520200053,
149,G520204,2576A,52,贵州,520200,5202,六盘水市,六盘水,六盘水市,窑上,国控站,,Guizhou,Liupanshui,104.8,26.5892,3,520200002,对照点
150,G520205,2577A,52,贵州,520200,5202,六盘水市,六盘水,六盘水市,黄土坡,国控站,,Guizhou,Liupanshui,104.83,26.5917,3,520200051,
151,G620101,1476A,62,甘肃,620100,6201,兰州市,兰州,兰州市,兰炼宾馆,国控站,,Gansu,Lanzhou,103.631,36.1031,3,620100054,
152,G620102,1477A,62,甘肃,620100,6201,兰州市,兰州,兰州市,榆中兰大校区,国控站,,Gansu,Lanzhou,103.153,35.9931,3,620100001,对照点
153,G620103,1478A,62,甘肃,620100,6201,兰州市,兰州,兰州市,生物制品所,国控站,,Gansu,Lanzhou,103.841,36.0725,3,620100051,
154,G620104,1475A,62,甘肃,620100,6201,兰州市,兰州,兰州市,职工医院,国控站,,Gansu,Lanzhou,103.712,36.0756,3,620100053,
155,G620105,1479A,62,甘肃,620100,6201,兰州市,兰州,兰州市,铁路设计院,国控站,,Gansu,Lanzhou,103.831,36.0464,3,620100052,
156,G152201,2199A,15,内蒙古,152200,1522,兴安盟,兴安盟,兴安盟,盟监测站,国控站,,Inner Mongolia,Hinggan,122.062,46.0872,3,,
157,G152202,2201A,15,内蒙古,152200,1522,兴安盟,兴安盟,兴安盟,科右前旗环保局,国控站,,Inner Mongolia,Hinggan,121.9462,46.0756,3,152200527,
158,G152203,2200A,15,内蒙古,152200,1522,兴安盟,兴安盟,兴安盟,胜华新制药厂,国控站,,Inner Mongolia,Hinggan,122.0506,46.0703,3,152200526,
159,G511001,2532A,51,四川,511000,5110,内江市,内江,内江市,东兴区政府,国控站,市区,Sichuan,Neijiang,105.0717,29.5947,3,511000408,
160,G511002,2533A,51,四川,511000,5110,内江市,内江,内江市,内江二中,国控站,市区,Sichuan,Neijiang,105.0653,29.5817,3,511000409,
161,G511003,2534A,51,四川,511000,5110,内江市,内江,内江市,内江日报社,国控站,市区,Sichuan,Neijiang,105.0406,29.5822,3,511000605,
162,G511004,2531A,51,四川,511000,5110,内江市,内江,内江市,市监测站,国控站,市区,Sichuan,Neijiang,105.0703,29.61,3,511000051,
163,G513401,2574A,51,四川,513400,5134,凉山彝族自治州,凉山,凉山彝族自治州,凉山州政府,国控站,西昌市,Sichuan,Liangshan,102.2689,27.8847,3,513400402,
164,G513402,2573A,51,四川,513400,5134,凉山彝族自治州,凉山,凉山彝族自治州,西昌市政府,国控站,西昌市,Sichuan,Liangshan,102.2625,27.8978,3,513400401,
165,G513403,2572A,51,四川,513400,5134,凉山彝族自治州,凉山,凉山彝族自治州,邛海宾馆,国控站,西昌市,Sichuan,Liangshan,102.2714,27.8408,3,513400351,
166,G513404,2575A,51,四川,513400,5134,凉山彝族自治州,凉山,凉山彝族自治州,长安,国控站,西昌市,Sichuan,Liangshan,102.2311,27.8953,3,513400403,
167,G513405,2571A,51,四川,513400,5134,凉山彝族自治州,凉山,凉山彝族自治州,青龙寺,国控站,,Sichuan,Liangshan,102.3419,27.8094,3,513400001,
168,G150201,1587A,15,内蒙古,150200,1502,包头市,包头,包头市,东河城环局,国控站,,Inner Mongolia,Baotou,110.0067,40.5905,3,150200084,
169,G150202,1590A,15,内蒙古,150200,1502,包头市,包头,包头市,东河鸿龙湾,国控站,,Inner Mongolia,Baotou,110.0377,40.5546,3,150200087,
170,G150203,1586A,15,内蒙古,150200,1502,包头市,包头,包头市,包百大楼,国控站,,Inner Mongolia,Baotou,109.8104,40.6575,3,150200083,
171,G150204,1585A,15,内蒙古,150200,1502,包头市,包头,包头市,市环境监测站,国控站,,Inner Mongolia,Baotou,109.8756,40.6532,3,150200082,
172,G150205,1589A,15,内蒙古,150200,1502,包头市,包头,包头市,惠龙物流,国控站,,Inner Mongolia,Baotou,109.8654,40.6288,3,150200086,
173,G150206,1588A,15,内蒙古,150200,1502,包头市,包头,包头市,青山宾馆,国控站,,Inner Mongolia,Baotou,109.8538,40.6821,3,150200085,
174,G110001,1001A,11,北京,110000,1100,北京市,北京,北京市,万寿西宫,国控站,西城区,Beijing,Beijing,116.352,39.878,3,110000252,
175,G110002,1003A,11,北京,110000,1100,北京市,北京,北京市,东四,国控站,东城区,Beijing,Beijing,116.417,39.929,3,110000244,
176,G110003,1005A,11,北京,110000,1100,北京市,北京,北京市,农展馆,国控站,朝阳区,Beijing,Beijing,116.461,39.937,3,110000247,
177,G110004,1012A,11,北京,110000,1100,北京市,北京,北京市,古城,国控站,石景山区,Beijing,Beijing,116.184,39.914,3,110000249,
178,G110005,1004A,11,北京,110000,1100,北京市,北京,北京市,天坛,国控站,东城区,Beijing,Beijing,116.407,39.886,3,110000245,
179,G110006,1011A,11,北京,110000,1100,北京市,北京,北京市,奥体中心,国控站,朝阳区,Beijing,Beijing,116.397,39.982,3,110000246,
180,G110007,1006A,11,北京,110000,1100,北京市,北京,北京市,官园,国控站,西城区,Beijing,Beijing,116.339,39.929,3,110000250,
